raw,clean
Multinational employer,Multinational employer
Local employer,Local employer
International Company,International Company
Not Applicable,NA
Unemployed,NA
Independent contractor,Independent contractor
none,NA
N.A,NA
US Based employer,US Based employer
Career break,NA
Technological Institute of the Philippines,Technological Institute of the Philippines
Na,NA
N/a,NA
PUP Manila - Student,NA
Student,Student
"Hospital, IT Operations","Hospital, IT Operations"
International Client,International Client
Foreign Employer Direct Hire,Foreign Employer Direct Hire
na,NA
None as of the moment,NA
Not working,NA
BPO in my previous multinational employer,BPO in my previous multinational employer
Still looking for one,Still looking for one
LGU,LGU
NOT WORKING,NA
National Government Agency,National Government Agency
local employer,Local employer
"Freelance, international SME from Africa & US","Freelance, international SME from Africa & US"
IT(lMultinational) and Education (local),IT(Multinational) and Education (local)
Still looking for a job,NA
Self-employed,Self-employed
Undergraduate Student,NA
Currently not working as IT,NA
Intern,Intern
US-based accounting firm,US-based accounting firm
trying to find wfh jobs,NA
International Employer,International Employer
Academe,Academe
Unemployed (Fresh Graduate),NA
not working,NA
Private,Private
Taking a career break at the moment,NA
School,NA
