raw,clean
Accounting,Accounting
Advertising,Advertising
Agriculture,Agriculture
Automation,Automation
Banking / Finance / Insurance,Banking / Finance / Insurance
Barangay Staff,Government
Biotechnology,Biotechnology
Career shifters,Career shifters
Casino,Casino
Civil Engineering,Construction and Civil Engineering
Construction,Construction and Civil Engineering
Construction and Civil Engineering,Construction and Civil Engineering
Construction Engineering,Construction and Civil Engineering
consulting,Own Business/ Consultancy/Freelance
Contractor Services,Contractor Services
Currently Club volunteer,Volunteering
Data Analyst and Data Engineer Intern at an Agriculture Company,Agriculture
Dating app,Dating app
E-commerce /Trade,E-commerce
Education,Education
Electric Utility,Electric Utility
Electronics,Electronics
Energy,Energy
Engineering,Engineering
Engineering,Engineering
Engineering Consultancy,Engineering Consultancy
Facility Management,Facility Management
fintech,Fintech
Fitness Tech,Fitness Tech
Freelance,Own Business/ Consultancy/Freelance
Freelancing,Own Business/ Consultancy/Freelance
Government,Government
Government,Government
Government Employee,Government
Government research agency,Government
Healthcare,Healthcare
Housing,Housing
Industrial Automation,Industrial Automation
Instrumentation and Control,Instrumentation and Control
IT (fulltime) and Education (part-time),IT and Education
"IT, BPO, and Business Services","IT, BPO, and Business Services"
Job Order at Municipal LGU,Government
LGU,Government
Logistics,Logistics
Logistics and Delivery Services,Logistics
Logistics/Supply Chain,Logistics
Mainstream and Social Media,Media
Manpower Agency,Manpower Agency
Manufacturing,Manufacturing
Mining,Mining
National Government Agency,Government
NGO,NGO
Non profit,NGO
Non-profit,NGO
Not working,Not working
Own Business/ Consultancy/Freelance,Own Business/ Consultancy/Freelance
Patents,Patents
PhD Student,Not working
Process Control Systems,Process Control Systems
Procurement,Procurement
Public Policy Research,Research
Railway,Railway
Real estate,Real estate
Real estate development,Real estate
Recruitment Firm,Recruitment Firm
Research,Research
Research,Research
Retail,Retail
Self-Employed,Self-Employed
Shipping,Shipping
Social Welfare and Development,Social Welfare and Development
Student,Not working
Systems Development Internship,Systems Development Internship
Systems Integrators,Systems Integrators
Technology and Real Estate,Technology and Real Estate
Telecom,Telecommunication
Telecommunication,Telecommunication
Tourism,Tourism
trying to find wfh jobs,Not working
Undergraduate Student,Not working
"Undergraduate student in BS Psychology, Minor in Data Science and Analytics",Not working
Unemployed,Not working
Utility,Utility
