Cities_grouped,City_Municipality_or_Province,Province_Region_or_State,Country,Count_Resp_ID,Latitude,Longitude
" Catbalogan, Philippines ",Catbalogan,Samar,Philippines,1,11.7753199,124.8829549
albay,Albay,Bicol,Philippines,1,13.216667,123.55
"Albay, Bicol",Albay,Bicol,Philippines,1,13.216667,123.55
"Aleosan, Philippines",Aleosan,North Cotabato,Philippines,1,7.1585808,124.5774001
Alex ,Alexandria,Alexandria,Egypt,1,31.1991806,29.8951716
Alexanderia,Alexandria,Alexandria,Egypt,1,31.1991806,29.8951716
Alexandria,Alexandria,Alexandria,Egypt,1,31.1991806,29.8951716
"Alexandria, Egypt",Alexandria,Alexandria,Egypt,1,31.1991806,29.8951716
"Angeles City, Pampanga",Angeles,Pampanga,Philippines,1,15.17020975,120.61042606275025
"Angeles City, Pampanga Philippines",Angeles,Pampanga,Philippines,1,15.17020975,120.61042606275025
Angono,Angono,Rizal,Philippines,1,14.5258481,121.1529683
"Angono, Philippines ",Angono,Rizal,Philippines,1,14.5258481,121.1529683
"Angono, Rizal",Angono,Rizal,Philippines,1,14.5258481,121.1529683
Antipolo,Antipolo,Rizal,Philippines,1,14.5871972,121.1759246
Antipolo City,Antipolo,Rizal,Philippines,1,14.5871972,121.1759246
"Antipolo City, Philippines",Antipolo,Rizal,Philippines,4,14.5871972,121.1759246
"Antipolo City, Philippines ",Antipolo,Rizal,Philippines,1,14.5871972,121.1759246
"Antipolo, Philippines",Antipolo,Rizal,Philippines,2,14.5871972,121.1759246
"Antipolo, Rizal",Antipolo,Rizal,Philippines,2,14.5871972,121.1759246
"Antipolo, Rizal, Philippines",Antipolo,Rizal,Philippines,1,14.5871972,121.1759246
"Antipolo,Philippines",Antipolo,Rizal,Philippines,1,14.5871972,121.1759246
"Antique, Philippines",Antique,Antique,Philippines,1,10.766609549999998,121.93367192294909
"Aurora, Philippines",Aurora,Aurora,Philippines,2,16.9905571,121.6360873
"Baco, Oriental Mindoro",Baco,Oriental Mindoro,Philippines,1,13.3581031,121.0963319
Bacolod,Bacolod,Negros Occidental,Philippines,1,10.777000699999999,123.01801470321547
"Bacolod City, Philippines",Bacolod,Negros Occidental,Philippines,2,10.777000699999999,123.01801470321547
Bacoor,Bacoor,Cavite,Philippines,1,14.458816,120.959579
Bacoor City,Bacoor,Cavite,Philippines,1,14.458816,120.959579
"Bacoor City, Cavite, Philippines",Bacoor,Cavite,Philippines,1,14.458816,120.959579
"Bacoor City, Philippines",Bacoor,Cavite,Philippines,1,14.458816,120.959579
"Bacoor City,Cavite",Bacoor,Cavite,Philippines,1,14.458816,120.959579
Baguio,Baguio,Benguet,Philippines,1,16.4119905,120.5933719
Baguio City,Baguio,Benguet,Philippines,2,16.4119905,120.5933719
"Baguio City, Philippines",Baguio,Benguet,Philippines,6,16.4119905,120.5933719
"Baliuag City, Philippines",Baliwag,Bulacan,Philippines,1,14.9542259,120.9009172
Baliwag,Baliwag,Bulacan,Philippines,1,14.9542259,120.9009172
Baliwag City,Baliwag,Bulacan,Philippines,1,14.9542259,120.9009172
"Bambang, Nueva Vizcaya",Bambang,Nueva Vizcaya,Philippines,1,16.3850624,121.1054715
Bataan,Bataan,Bataan,Philippines,3,14.63156175,120.3155938339047
"Bataan, Philippines",Bataan,Bataan,Philippines,1,14.63156175,120.3155938339047
Batangas,Batangas,Batangas,Philippines,6,13.7558718,121.0584755
"Batangas City, Philippines",Batangas,Batangas,Philippines,2,13.7558718,121.0584755
"Batangas City, Philippines ",Batangas,Batangas,Philippines,1,13.7558718,121.0584755
"Batangas, City. Philippines",Batangas,Batangas,Philippines,1,13.7558718,121.0584755
"Batangas, Philippines",Batangas,Batangas,Philippines,7,13.7558718,121.0584755
"Batangas, Philippines ",Batangas,Batangas,Philippines,1,13.7558718,121.0584755
"Bay, Philippines",Bay,Metro Manila,Philippines,1,,
"Bayombong, Nueva Vizcaya",Bayombong,Nueva Vizcaya,Philippines,2,16.4829252,121.1505219
Benguet,Benguet,Benguet,Philippines,1,16.3868994,120.5595948
"Benguet, Philippines ",Benguet,Benguet,Philippines,1,16.3868994,120.5595948
"Binan City, Laguna ",Binan,Laguna,Philippines,1,14.3388259,121.0841826
"Binan City, Philippines",Binan,Laguna,Philippines,2,14.3388259,121.0841826
"Binan, Laguna",Binan,Laguna,Philippines,1,14.3388259,121.0841826
Bicol,Bicol,Bicol,Philippines,2,13.11299925,123.67952109789675
"Bicol, Philippines",Bicol,Bicol,Philippines,1,13.11299925,123.67952109789675
"Binan, Laguna",Binan,Laguna,Philippines,2,14.3388259,121.0841826
"Binangonan, Rizal Philippines",Binangonan,Rizal,Philippines,1,14.4647563,121.1923358
Bocaue Bulacan,Bocaue,Bulacan,Philippines,1,14.7954178,120.9253578
"Bocaue, Bulacan, Philippines",Bocaue,Bulacan,Philippines,1,14.7954178,120.9253578
Bohol,Bohol,Bohol,Philippines,1,9.880782199999999,124.2064611575164
"Borongan City, Eastern Samar",Borongan,Eastern Samar,Philippines,1,11.6085788,125.435328
"Bukit Batok, Singapore",Singapore,Singapore,Singapore,1,1.2962018,103.77689765953073
Bulacan,Bulacan,Bulacan,Philippines,3,14.86961745,120.99893763471616
Bulacan ,Bulacan,Bulacan,Philippines,1,14.86961745,120.99893763471616
"Bulacan, Philippines",Bulacan,Bulacan,Philippines,10,14.86961745,120.99893763471616
"Butuan City, Philippines ",Butuan,Agusan del Norte,Philippines,1,8.95155605,125.47872520375199
Cabite,Cavite,Cavite,Philippines,1,14.4820919,120.908919
"Cabuyao, Laguna, Philippines ",Cabuyao,Laguna,Philippines,1,14.2795538,121.1235712
"Cabuyao, Philippines",Cabuyao,Laguna,Philippines,1,14.2795538,121.1235712
Cagayan de Oro,Cagayan de Oro,Misamis Oriental,Philippines,1,8.4756417,124.6421532
Cagayan de Oro city,Cagayan de Oro,Misamis Oriental,Philippines,3,8.4756417,124.6421532
"Cagayan de Oro City, Philippines",Cagayan de Oro,Misamis Oriental,Philippines,1,8.4756417,124.6421532
"Cairo, Egypt",Cairo,Cairo,Egypt,1,30.0443879,31.2357257
"Cairo,Egypt",Cairo,Cairo,Egypt,1,30.0443879,31.2357257
calabarzon,Not available,Not available,Philippines,1,,
"calaca city, batangas, philippines",Calaca,Batangas,Philippines,1,13.9304212,120.8130856
Calamba City Philippines,Calamba,Laguna,Philippines,1,14.2060217,121.1556496
"calamba city, laguna",Calamba,Laguna,Philippines,2,14.2060217,121.1556496
"Calamba City, Philippines",Calamba,Laguna,Philippines,1,14.2060217,121.1556496
"Calamba City, Philippines ",Calamba,Laguna,Philippines,1,14.2060217,121.1556496
"Calamba, Laguna",Calamba,Laguna,Philippines,1,14.2060217,121.1556496
"Calamba, Laguna, Philippines",Calamba,Laguna,Philippines,1,14.2060217,121.1556496
"Calgary, Alberta",Calgary,Alberta,Canada,1,51.0456064,-114.057541
